,price
2605,3715.9578
2606,3698.313
2607,3672.6402
2608,3738.0622
2609,3711.7106
2610,3694.9607
2611,3711.2117
2612,3678.929
2613,3696.2542
2614,3674.7514
2615,3697.9337
2616,3677.9585
2617,3664.039
2618,3635.2994
2619,3631.0671
2620,3588.5154
2621,3518.3464
2622,3500.199
2623,3481.7644
2624,3524.2965
2625,3484.7807
2626,3501.171
2627,3554.1055
2628,3581.6759
2629,3605.7576
2630,3580.0672
2631,3558.5303
2632,3608.3187
2633,3623.7849
2634,3610.6434
2635,3603.1082
2636,3596.0688
2637,3593.9109
2638,3581.1034
2639,3616.8765
2640,3600.9813
2641,3561.3112
2642,3569.7314
2643,3587.8779
2644,3569.4389
2645,3541.4416
2646,3560.6462
2647,3534.4445
2648,3510.6554
2649,3518.8836
2650,3485.5171
2651,3494.2234
2652,3481.0449
2653,3450.0898
2654,3387.8798
2655,3394.3064
2656,3391.8585
2657,3378.0517
2658,3409.9976
2659,3418.6413
2660,3387.3847
2661,3365.9388
2662,3329.191
2663,3325.6596
2664,3334.332
2665,3285.6049
2666,3329.4668
2667,3330.3333
2668,3345.3952
2669,3326.9267
2670,3335.5572
2671,3411.1094
2672,3426.2684
2673,3379.7501
2674,3375.0207
2675,3341.3061
2676,3322.6051
2677,3286.7083
2678,3281.6692
2679,3275.3086
2680,3284.358
2681,3270.1029
2682,3272.571
2683,3291.1392
2684,3214.2844
2685,3261.2393
2686,3262.4685
2687,3208.4316
2688,3245.9592
2689,3274.3391
2690,3326.6465
2691,3335.3936
2692,3283.8977
2693,3231.5425
2694,3202.2564
2695,3219.8734
2696,3164.25
2697,3185.2498
2698,3314.0306
2699,3351.4052
2700,3393.1916
2701,3395.1916
2702,3390.3619
2703,3450.3518
2704,3491.3367
2705,3485.5427
2706,3440.0516
2707,3499.8257
2708,3437.8984
2709,3515.0587
2710,3538.366
2711,3524.9644
2712,3556.5323
2713,3548.1007
2714,3529.5509
2715,3545.9427
2716,3592.5826
2717,3594.4211
2718,3571.7885
2719,3554.9068
2720,3577.0564
2721,3593.3396
2722,3568.7158
2723,3593.07
2724,3571.2736
2725,3536.7136
2726,3526.6818
2727,3538.7244
2728,3498.482
2729,3516.883
2730,3551.5815
2731,3593.2206
2732,3578.6835
2733,3553.5554
2734,3533.3849
2735,3528.9679
2736,3485.0294
2737,3505.7499
2738,3473.5047
2739,3533.3636
2740,3509.1318
2741,3550.5562
2742,3550.6087
2743,3536.1844
2744,3525.6681
2745,3514.0108
2746,3510.6396
2747,3531.9647
2748,3584.5427
2749,3619.2586
2750,3654.0485
2751,3657.0007
2752,3650.7484
2753,3630.4142
2754,3669.0869
